strain,accession,originating_lab,submitting_lab,segment
A/Washington/58/2015,EPI677601,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/6/2009,EPI185932,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/6/2013,EPI439441,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/60/2012,EPI416180,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/61/2014,EPI584698,?,Centers For Disease Control And Prevention,NA
A/Washington/61/2015,EPI685962,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/62/2015,EPI686221,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/63/2016,EPI771450,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/64/2015,EPI689059,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/644/2019,EPI1482800,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/645/2019,EPI1482808,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/647/2019,EPI1597422,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/648/2019,EPI1597430,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/65/2015,EPI696045,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/652/2019,EPI1617792,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/657/2019,EPI1629339,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/68/2015,EPI693567,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/71/2016,EPI776233,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/72/2015,EPI710416,U.s. Air Force School Of Aerospace Medicine,Centers For Disease Control And Prevention,NA
A/Washington/72/2016,EPI776179,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/74/2016,EPI814284,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/75/2015,EPI710440,U.s. Air Force School Of Aerospace Medicine,Centers For Disease Control And Prevention,NA
A/Washington/75/2016,EPI787083,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/76/2015,EPI710448,U.s. Air Force School Of Aerospace Medicine,Centers For Disease Control And Prevention,NA
A/Washington/8/2014,EPI515609,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/80/2016,EPI862282,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/81/2016,EPI862544,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/82/2016,EPI862552,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/85/2018,EPI1225071,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/9/2008,EPI172419,?,Centers For Disease Control And Prevention,NA
A/Washington/97/2018,EPI1256278,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/9906/2019,EPI1655180,U.s. Air Force School Of Aerospace Medicine ,U.s. Air Force School Of Aerospace Medicine,NA
A/Washington/UR06-0225/2007,EPI72528,?,Other Database Import,NA
A/Washington/UR06-0252/2007,EPI72927,?,Other Database Import,NA
A/Washington/WRAIR1057P/2009,EPI275680,?,Other Database Import,NA
A/Wellington/1/2003,EPI1447654,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/1/2004,EPI228462,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Wellington/1/2005,EPI40719,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Wellington/1/2017,EPI1082783,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/10/2003,EPI35268,?,Other Database Import,NA
A/Wellington/10/2011,EPI346269,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/13/2008,EPI168602,?,Centers For Disease Control And Prevention,NA
A/Wellington/14/2004,EPI37510,?,Other Database Import,NA
A/Wellington/14/2011,EPI346346,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/17/2003,EPI1447656,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/18/2019,EPI1590826,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/2/2005,EPI40738,?,Other Database Import,NA
A/Wellington/21/2000,EPI57104,?,Other Database Import,NA
A/Wellington/22/2001,EPI35021,?,Other Database Import,NA
A/Wellington/23/2004,EPI39365,?,Other Database Import,NA
A/Wellington/25/2003,EPI35306,?,Other Database Import,NA
A/Wellington/28/2003,EPI35325,?,Other Database Import,NA
A/Wellington/3/2003,EPI35211,Institute Of Environmental Science & Research,Other Database Import,NA
A/Wellington/3/2012,EPI394157,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/3/2015,EPI676130,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/30/2000,EPI40434,?,Other Database Import,NA
A/Wellington/31/2008,EPI168606,?,Centers For Disease Control And Prevention,NA
A/Wellington/33/2006,EPI1990203,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Wellington/33/2007,EPI1445790,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/34/2001,EPI36655,?,Other Database Import,NA
A/Wellington/34/2003,EPI36085,Institute Of Environmental Science & Research,Other Database Import,NA
A/Wellington/35/2004,EPI38650,?,Other Database Import,NA
A/Wellington/38/2002,EPI35059,?,Other Database Import,NA
A/Wellington/38/2003,EPI1447659,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/38/2004,EPI39460,?,Other Database Import,NA
A/Wellington/4/2003,EPI35230,?,Other Database Import,NA
A/Wellington/4/2004,EPI40453,?,Other Database Import,NA
A/Wellington/4/2005,EPI44371,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Wellington/40/2008,EPI168604,?,Centers For Disease Control And Prevention,NA
A/Wellington/44/2004,EPI39441,?,Other Database Import,NA
A/Wellington/45/2004,EPI38669,?,Other Database Import,NA
A/Wellington/49/2003,EPI37491,?,Other Database Import,NA
A/Wellington/5/2005,EPI44390,?,Other Database Import,NA
A/Wellington/5/2006,EPI1990208,Institute Of Environmental Science And Research (esr),Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/52/2004,EPI37605,?,Other Database Import,NA
A/Wellington/55/2004,EPI57921,?,Other Database Import,NA
A/Wellington/59/2004,EPI40491,?,Other Database Import,NA
A/Wellington/6/2002,EPI35895,?,Other Database Import,NA
A/Wellington/6/2004,EPI36199,?,Other Database Import,NA
A/Wellington/6/2005,EPI44409,?,Other Database Import,NA
A/Wellington/6/2008,EPI168596,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/61/2004,EPI46312,?,Other Database Import,NA
A/Wellington/62/2004,EPI39593,?,Other Database Import,NA
A/Wellington/64/2004,EPI40624,?,Other Database Import,NA
A/Wellington/66/2002,EPI35078,?,Other Database Import,NA
A/Wellington/7/2002,EPI36693,?,Other Database Import,NA
A/Wellington/7/2005,EPI46388,?,Other Database Import,NA
A/Wellington/71/2002,EPI35971,?,Other Database Import,NA
A/Wellington/79/2002,EPI36028,?,Other Database Import,NA
A/Wellington/8/2005,EPI40890,?,Other Database Import,NA
A/Wellington/8/2011,EPI346261,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Wellington/80/2002,EPI36009,?,Other Database Import,NA
A/Wellington/86/2002,EPI35192,?,Other Database Import,NA
A/Wellington/9/2000,EPI33665,?,Other Database Import,NA
A/Wellington/9/2003,EPI37453,?,Other Database Import,NA
A/Wellington/9/2005,EPI40909,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Wellington/9/2011,EPI346267,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/WestCoast/28/2001,EPI30227,?,Other Database Import,NA
A/WestCoast/32/2001,EPI29847,?,Other Database Import,NA
A/WestCoast/55/2001,EPI29904,?,Other Database Import,NA
A/WestKazakhstan/461/2019,EPI1506608,National Reference Laboratory,Crick Worldwide Influenza Centre,NA
A/WestKazakhstan/463/2019,EPI1506612,National Reference Laboratory,Crick Worldwide Influenza Centre,NA
A/WestVirginia/1/2014,EPI503923,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/1/2017,EPI896597,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/1/2018,EPI1166901,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/10/2013,EPI465937,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/11/2013,EPI465518,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/12/2016,EPI896573,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/12/2019,EPI1381672,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/16/2017,EPI1000688,West Virginia Office Of Laboratory Services,Other Database Import,NA
A/WestVirginia/17/2012,EPI394769,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/17/2017,EPI1006364,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/2/2018,EPI1166893,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/23/2015,EPI673823,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/23/2018,EPI1245035,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/27/2017,EPI1131600,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/28/2018,EPI1323382,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/28/2019,EPI1439752,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/3/2011,EPI309504,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/3/2012,EPI359583,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/3/2015,EPI578717,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/30/2017,EPI1142211,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/31/2019,EPI1442094,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/34/2019,EPI1482493,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/4/2011,EPI309510,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/5/2011,EPI319836,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/5/2013,EPI465952,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/6/2013,EPI465532,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/6/2016,EPI862584,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/6/2017,EPI964872,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/7/2015,EPI579224,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/7/2016,EPI862592,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/7/2017,EPI964880,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WestVirginia/8/2016,EPI868668,West Virginia Office Of Laboratory Services,Centers For Disease Control And Prevention,NA
A/WesternAustralia/1/2000,EPI48402,?,Other Database Import,NA
A/WesternAustralia/10/2000,EPI46426,?,Other Database Import,NA
A/WesternAustralia/11/2000,EPI44523,?,Other Database Import,NA
A/WesternAustralia/12/2000,EPI46445,?,Other Database Import,NA
A/WesternAustralia/13/2001,EPI44542,?,Other Database Import,NA
A/WesternAustralia/14/2001,EPI44561,?,Other Database Import,NA
A/WesternAustralia/15/2001,EPI38802,?,Other Database Import,NA
A/WesternAustralia/16/2001,EPI44580,?,Other Database Import,NA
A/WesternAustralia/17/2001,EPI44599,?,Other Database Import,NA
A/WesternAustralia/2/2000,EPI44466,?,Other Database Import,NA
A/WesternAustralia/23/2002,EPI38821,?,Other Database Import,NA
A/WesternAustralia/24/2002,EPI48478,?,Other Database Import,NA
A/WesternAustralia/25/2002,EPI44618,?,Other Database Import,NA
